state_key,"(0, 3)_forward","(1, 3)_diagonal2","(0, 0)_diagonal2","(0, 2)_diagonal2","(0, 2)_forward","(0, 0)_diagonal1","(0, 0)_forward","(1, 2)_diagonal1","(0, 1)_diagonal2","(2, 3)_diagonal1","(1, 0)_forward","(0, 1)_diagonal1","(0, 2)_diagonal1","(1, 3)_diagonal1","(0, 1)_forward","(1, 1)_forward","(1, 0)_diagonal1","(2, 1)_diagonal2","(2, 1)_forward","(0, 3)_diagonal2","(1, 2)_forward","(1, 2)_diagonal2","(2, 2)_forward","(0, 3)_diagonal1","(1, 0)_diagonal2","(2, 1)_diagonal1","(2, 2)_diagonal1","(1, 1)_diagonal2","(2, 0)_diagonal2","(1, 1)_diagonal1","(2, 2)_diagonal2","(2, 3)_forward","(1, 3)_forward","(2, 0)_diagonal1","(2, 0)_forward","(2, 3)_diagonal2"
0,0.9999996466591649,0.0,0.0,-0.9000004265390271,0.9999999002061118,-0.1,0.1,0.0,-0.8999979338568235,0.0,0.99999845546164,-0.8999971637472342,-0.8999987734628194,0.0,0.9999999999999988,0.0,0.999998609915476,0.0,0.0,-0.9000007115849706,0.0,0.0,0.0,-0.9000003410247712,-0.9000009029139953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.9835767967317391,0.0,0.0,-0.899190852466792,0.9936373145588644,0.0,0.0,0.0,0.0,0.0,-0.8934978868224208,0.0,-0.8942646630412946,0.0,0.0,-0.895097779803662,0.9999999941970116,0.0,0.0,-0.8800169885232986,0.0,0.0,0.0,-0.8998756975590357,-0.8931554808557167,0.0,0.0,0.9912720364319124,0.0,-0.9004617111078035,0.0,0.0,0.0,0.0,0.0,0.0
1191,0.271,0.0,0.0,-0.2578148903619,0.6513215599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69884194587381,0.0,0.0,-0.263262969,0.0,39.23797112882452,1000.30310519226,-0.6084844110000001,0.0,0.0,0.0,-0.339561,0.0,344.24390000000005,0.0,0.5217031,0.0,-0.450932355,0.0,0.0,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811,100.1,-0.271,0.271,-0.0981,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
30,0.9999999833571918,0.0,-0.9000015593102711,0.0,0.0,-0.9000021312785018,0.999991664751582,-0.9000309152167538,-0.8999863286216603,0.0,0.0,-0.9000025999293648,0.0,0.0,0.9999960132765208,0.0,0.0,0.0,0.0,-0.8999988231522383,0.9999734386011122,-0.900015091868881,0.0,-0.8999919456487195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,-0.1,0.9929303495098492,-0.8469176675622891,0.0,0.0,-0.8663941936841368,0.9528987130275376,-1.0058509465865566,-0.8988042274341596,0.0,0.0,-0.8667441992052988,0.0,-0.7216750469534888,0.9202335569231274,0.0,0.0,0.0,0.0,0.0,-1.0617379333179109,-1.0467572268874838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690968456173676,0.0,0.0,0.0
1156,0.0,0.612579511,-0.3458,0.0,0.0,-0.348339,-0.2738,-0.4155061,0.0,0.0,0.0,0.0,0.0,-0.455420079,0.0,0.271,0.0,0.0,0.0,0.0,-0.27381,-0.47735698,0.0,0.0,0.0,0.0,0.0,-0.338751,0.0,0.3439,0.0,0.0,0.3439,0.0,0.0,0.0
1730,0.0,0.0,-0.1,0.0,0.0,-0.1,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.271,0.0,0.0,0.0,0.0,0.0
145,0.0,0.9999999935522352,0.0,-0.8665963253613345,0.9929303495098492,0.0,0.0,0.0,-0.8497895694303075,0.0,-1.0059639660238036,-0.8833057731051326,-0.8859058267640096,-0.8696684825700203,0.9528987130275376,0.0,-1.04196759562574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.040695579251347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965663161797075,0.0,0.0,0.0
1732,0.0,0.0,0.0,-0.594739115181,0.3439,0.0,0.0,0.0,-0.4327076692215436,0.0,-0.620559301,-0.6329310683145476,-0.265122,0.0,0.995361602313412,0.0,-0.27381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6612807747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
