episode,player,total_reward,steps_played,won
134_W,W,962.0,52.0,W
134_B,B,-14.0,26.0,W
135_W,W,996.0,16.0,W
135_B,B,-1.0,11.0,W
136_W,W,2.0,6.0,B
136_B,B,1002.0,6.0,B
137_W,W,-4.0,16.0,B
137_B,B,999.0,13.0,B
138_W,W,989.0,23.0,W
138_B,B,-1.0,11.0,W
139_W,W,994.0,18.0,W
139_B,B,-2.0,12.0,W
140_W,W,999.0,13.0,W
140_B,B,-3.0,13.0,W
141_W,W,2.0,4.0,B
141_B,B,997.0,9.0,B
142_W,W,994.0,18.0,W
142_B,B,-18.0,28.0,W
143_W,W,998.0,14.0,W
143_B,B,2.0,8.0,W
144_W,W,2.0,6.0,B
144_B,B,993.0,15.0,B
145_W,W,-5.0,13.0,B
145_B,B,997.0,11.0,B
146_W,W,0.0,10.0,B
146_B,B,996.0,14.0,B
147_W,W,1003.0,3.0,W
147_B,B,2.0,2.0,W
148_W,W,1003.0,11.0,W
148_B,B,-6.0,18.0,W
149_W,W,1000.0,8.0,W
149_B,B,1.0,5.0,W
150_W,W,995.0,17.0,W
150_B,B,-1.0,11.0,W
151_W,W,-1008.0,20.0,B
151_B,B,0.0,10.0,B
152_W,W,1.0,11.0,B
152_B,B,1003.0,9.0,B
153_W,W,991.0,21.0,W
153_B,B,-1.0,11.0,W
154_W,W,-6.0,12.0,B
154_B,B,1003.0,3.0,B
155_W,W,958.0,56.0,W
155_B,B,-8.0,20.0,W
156_W,W,-4.0,16.0,B
156_B,B,1004.0,8.0,B
157_W,W,999.0,13.0,W
157_B,B,-8.0,18.0,W
158_W,W,-8.0,18.0,B
158_B,B,993.0,17.0,B
159_W,W,4.0,8.0,B
159_B,B,986.0,26.0,B
160_W,W,2.0,4.0,B
160_B,B,1000.0,6.0,B
161_W,W,2.0,8.0,B
161_B,B,1001.0,9.0,B
162_W,W,999.0,9.0,W
162_B,B,-5.0,11.0,W
163_W,W,1002.0,6.0,W
163_B,B,-2.0,8.0,W
164_W,W,3.0,5.0,B
164_B,B,999.0,9.0,B
165_W,W,1002.0,8.0,W
165_B,B,1.0,7.0,W
166_W,W,997.0,13.0,W
166_B,B,-3.0,11.0,W
167_W,W,-1.0,13.0,B
167_B,B,996.0,16.0,B
168_W,W,994.0,20.0,W
168_B,B,-5.0,17.0,W
169_W,W,3.0,5.0,B
169_B,B,995.0,13.0,B
170_W,W,-1.0,11.0,W
170_B,B,-1014.0,24.0,W
171_W,W,999.0,11.0,W
171_B,B,-3.0,11.0,W
172_W,W,1000.0,8.0,W
172_B,B,-6.0,12.0,W
173_W,W,-9.0,17.0,B
173_B,B,999.0,9.0,B
174_W,W,3.0,5.0,B
174_B,B,996.0,12.0,B
175_W,W,3.0,5.0,B
175_B,B,1000.0,8.0,B
176_W,W,1003.0,9.0,W
176_B,B,-4.0,14.0,W
177_W,W,-1013.0,25.0,B
177_B,B,-18.0,28.0,B
178_W,W,-2.0,12.0,B
178_B,B,1000.0,10.0,B
179_W,W,1003.0,9.0,W
179_B,B,-27.0,37.0,W
180_W,W,0.0,10.0,B
180_B,B,1000.0,10.0,B
181_W,W,1003.0,7.0,W
181_B,B,2.0,6.0,W
182_W,W,986.0,26.0,W
182_B,B,-3.0,13.0,W
183_W,W,1001.0,7.0,W
183_B,B,2.0,4.0,W
184_W,W,-2.0,12.0,B
184_B,B,965.0,45.0,B
185_W,W,1001.0,9.0,W
185_B,B,-7.0,15.0,W
186_W,W,-12.0,22.0,B
186_B,B,1003.0,7.0,B
187_W,W,-3.0,13.0,B
187_B,B,1000.0,10.0,B
188_W,W,1.0,9.0,B
188_B,B,997.0,13.0,B
189_W,W,1001.0,11.0,W
189_B,B,-2.0,12.0,W
190_W,W,997.0,15.0,W
190_B,B,-6.0,16.0,W
191_W,W,997.0,15.0,W
191_B,B,-12.0,22.0,W
192_W,W,-2.0,14.0,B
192_B,B,999.0,13.0,B
193_W,W,-2.0,12.0,B
193_B,B,1001.0,9.0,B
194_W,W,993.0,21.0,W
194_B,B,-9.0,21.0,W
195_W,W,1000.0,10.0,W
195_B,B,3.0,5.0,W
196_W,W,3.0,7.0,B
196_B,B,988.0,22.0,B
197_W,W,3.0,7.0,B
197_B,B,997.0,13.0,B
198_W,W,968.0,44.0,W
198_B,B,-15.0,25.0,W
199_W,W,993.0,19.0,W
199_B,B,-14.0,24.0,W
200_W,W,998.0,14.0,W
200_B,B,0.0,10.0,W
201_W,W,4.0,4.0,B
201_B,B,997.0,11.0,B
202_W,W,995.0,17.0,W
202_B,B,-5.0,15.0,W
203_W,W,4.0,4.0,B
203_B,B,996.0,12.0,B
